cavity_id,group_id,local_member_id,symmetry_operation,x,y,z,normal_x,normal_y,normal_z,streamwise_x,streamwise_y,streamwise_z,rotation_angle,accepted,rejection_reason,nearest_face_distance_mm
0,0,0,C3v_rot_0deg,157.857789,0.000000,34.394883,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
1,0,1,C3v_rot_120deg,135.873577,12.990381,29.604847,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
2,0,2,C3v_rot_240deg,135.873577,-12.990381,29.604847,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
3,0,3,C3v_mirror_0deg,157.857789,0.000000,34.394883,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
4,0,4,C3v_mirror_120deg,135.873577,-12.990381,29.604847,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
5,0,5,C3v_mirror_240deg,135.873577,12.990381,29.604847,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
6,1,0,C3v_rot_0deg,393.661517,65.244826,85.773035,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
7,1,1,C3v_rot_120deg,371.677305,78.235207,80.983000,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
8,1,2,C3v_rot_240deg,371.677305,52.254445,80.983000,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
9,1,3,C3v_mirror_0deg,393.661517,65.244826,85.773035,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
10,1,4,C3v_mirror_120deg,371.677305,52.254445,80.983000,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
11,1,5,C3v_mirror_240deg,371.677305,78.235207,80.983000,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
12,2,0,C3v_rot_0deg,629.465245,130.489652,137.151188,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
13,2,1,C3v_rot_120deg,607.481033,143.480033,132.361152,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
14,2,2,C3v_rot_240deg,607.481033,117.499271,132.361152,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
15,2,3,C3v_mirror_0deg,629.465245,130.489652,137.151188,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
16,2,4,C3v_mirror_120deg,607.481033,117.499271,132.361152,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
17,2,5,C3v_mirror_240deg,607.481033,143.480033,132.361152,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
18,3,0,C3v_rot_0deg,865.268973,195.734478,188.529340,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
19,3,1,C3v_rot_120deg,843.284761,208.724859,183.739305,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
20,3,2,C3v_rot_240deg,843.284761,182.744096,183.739305,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
21,3,3,C3v_mirror_0deg,865.268973,195.734478,188.529340,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
22,3,4,C3v_mirror_120deg,843.284761,182.744096,183.739305,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
23,3,5,C3v_mirror_240deg,843.284761,208.724859,183.739305,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
24,4,0,C3v_rot_0deg,1101.072701,260.979303,239.907493,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
25,4,1,C3v_rot_120deg,1079.088489,273.969684,235.117458,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
26,4,2,C3v_rot_240deg,1079.088489,247.988922,235.117458,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
27,4,3,C3v_mirror_0deg,1101.072701,260.979303,239.907493,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
28,4,4,C3v_mirror_120deg,1079.088489,247.988922,235.117458,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
29,4,5,C3v_mirror_240deg,1079.088489,273.969684,235.117458,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
30,5,0,C3v_rot_0deg,1336.876429,326.224129,291.285645,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
31,5,1,C3v_rot_120deg,1314.892217,339.214510,286.495610,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
32,5,2,C3v_rot_240deg,1314.892217,313.233748,286.495610,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
33,5,3,C3v_mirror_0deg,1336.876429,326.224129,291.285645,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
34,5,4,C3v_mirror_120deg,1314.892217,313.233748,286.495610,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
35,5,5,C3v_mirror_240deg,1314.892217,339.214510,286.495610,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
36,6,0,C3v_rot_0deg,1572.680157,391.468955,342.663798,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
37,6,1,C3v_rot_120deg,1550.695945,404.459336,337.873763,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
38,6,2,C3v_rot_240deg,1550.695945,378.478574,337.873763,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
39,6,3,C3v_mirror_0deg,1572.680157,391.468955,342.663798,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
40,6,4,C3v_mirror_120deg,1550.695945,378.478574,337.873763,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
41,6,5,C3v_mirror_240deg,1550.695945,404.459336,337.873763,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
42,7,0,C3v_rot_0deg,1808.483885,456.713781,394.041951,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
43,7,1,C3v_rot_120deg,1786.499673,469.704162,389.251915,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
44,7,2,C3v_rot_240deg,1786.499673,443.723400,389.251915,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
45,7,3,C3v_mirror_0deg,1808.483885,456.713781,394.041951,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
46,7,4,C3v_mirror_120deg,1786.499673,443.723400,389.251915,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
47,7,5,C3v_mirror_240deg,1786.499673,469.704162,389.251915,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
48,8,0,C3v_rot_0deg,2044.287613,521.958607,445.420103,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
49,8,1,C3v_rot_120deg,2022.303401,534.948988,440.630068,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
50,8,2,C3v_rot_240deg,2022.303401,508.968226,440.630068,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
51,8,3,C3v_mirror_0deg,2044.287613,521.958607,445.420103,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
52,8,4,C3v_mirror_120deg,2022.303401,508.968226,440.630068,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
53,8,5,C3v_mirror_240deg,2022.303401,534.948988,440.630068,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
54,9,0,C3v_rot_0deg,2280.091341,587.203433,496.798256,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
55,9,1,C3v_rot_120deg,2258.107129,600.193814,492.008220,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
56,9,2,C3v_rot_240deg,2258.107129,574.213052,492.008220,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
57,9,3,C3v_mirror_0deg,2280.091341,587.203433,496.798256,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
