cavity_id,group_id,local_member_id,symmetry_operation,x,y,z,normal_x,normal_y,normal_z,streamwise_x,streamwise_y,streamwise_z,rotation_angle,accepted,rejection_reason,nearest_face_distance_mm
0,0,0,C4_rot_0deg,16666.763663,2004.550104,2334.684779,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
1,0,1,C4_rot_90deg,16646.818488,2024.550104,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
2,0,2,C4_rot_180deg,16626.873312,2004.550104,2337.644488,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
3,0,3,C4_rot_270deg,16646.818488,1984.550104,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
4,1,0,C4_rot_0deg,16965.941298,2004.550104,2312.486962,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
5,1,1,C4_rot_90deg,16945.996122,2024.550104,2313.966817,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
6,1,2,C4_rot_180deg,16926.050946,2004.550104,2315.446671,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
7,1,3,C4_rot_270deg,16945.996122,1984.550104,2313.966817,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
8,2,0,C4_rot_0deg,17265.118932,2004.550104,2290.289145,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
9,2,1,C4_rot_90deg,17245.173756,2024.550104,2291.769000,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
10,2,2,C4_rot_180deg,17225.228581,2004.550104,2293.248854,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
11,2,3,C4_rot_270deg,17245.173756,1984.550104,2291.769000,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
12,3,0,C4_rot_0deg,17564.296566,2004.550104,2268.091328,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
13,3,1,C4_rot_90deg,17544.351391,2024.550104,2269.571183,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
14,3,2,C4_rot_180deg,17524.406215,2004.550104,2271.051037,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
15,3,3,C4_rot_270deg,17544.351391,1984.550104,2269.571183,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
16,4,0,C4_rot_0deg,17863.474201,2004.550104,2245.893511,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
17,4,1,C4_rot_90deg,17843.529025,2024.550104,2247.373365,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
18,4,2,C4_rot_180deg,17823.583849,2004.550104,2248.853220,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
19,4,3,C4_rot_270deg,17843.529025,1984.550104,2247.373365,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
20,5,0,C4_rot_0deg,18162.651835,2004.550104,2223.695694,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
21,5,1,C4_rot_90deg,18142.706660,2024.550104,2225.175548,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
22,5,2,C4_rot_180deg,18122.761484,2004.550104,2226.655403,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
23,5,3,C4_rot_270deg,18142.706660,1984.550104,2225.175548,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
24,6,0,C4_rot_0deg,18461.829470,2004.550104,2201.497877,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
25,6,1,C4_rot_90deg,18441.884294,2024.550104,2202.977731,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
26,6,2,C4_rot_180deg,18421.939118,2004.550104,2204.457586,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
27,6,3,C4_rot_270deg,18441.884294,1984.550104,2202.977731,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
28,7,0,C4_rot_0deg,18761.007104,2004.550104,2179.300060,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
29,7,1,C4_rot_90deg,18741.061928,2024.550104,2180.779914,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
30,7,2,C4_rot_180deg,18721.116753,2004.550104,2182.259768,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
31,7,3,C4_rot_270deg,18741.061928,1984.550104,2180.779914,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
32,8,0,C4_rot_0deg,19060.184738,2004.550104,2157.102242,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
33,8,1,C4_rot_90deg,19040.239563,2024.550104,2158.582097,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
34,8,2,C4_rot_180deg,19020.294387,2004.550104,2160.061951,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
35,8,3,C4_rot_270deg,19040.239563,1984.550104,2158.582097,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
36,9,0,C4_rot_0deg,19359.362373,2004.550104,2134.904425,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
37,9,1,C4_rot_90deg,19339.417197,2024.550104,2136.384280,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
38,9,2,C4_rot_180deg,19319.472021,2004.550104,2137.864134,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
39,9,3,C4_rot_270deg,19339.417197,1984.550104,2136.384280,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
40,10,0,C4_rot_0deg,19658.540007,2004.550104,2112.706608,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
41,10,1,C4_rot_90deg,19638.594831,2024.550104,2114.186463,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
42,10,2,C4_rot_180deg,19618.649656,2004.550104,2115.666317,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
43,10,3,C4_rot_270deg,19638.594831,1984.550104,2114.186463,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
44,11,0,C4_rot_0deg,19957.717641,2004.550104,2090.508791,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
45,11,1,C4_rot_90deg,19937.772466,2024.550104,2091.988645,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
46,11,2,C4_rot_180deg,19917.827290,2004.550104,2093.468500,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
47,11,3,C4_rot_270deg,19937.772466,1984.550104,2091.988645,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
48,12,0,C4_rot_0deg,20256.895276,2004.550104,2068.310974,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
49,12,1,C4_rot_90deg,20236.950100,2024.550104,2069.790828,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
50,12,2,C4_rot_180deg,20217.004925,2004.550104,2071.270683,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
51,12,3,C4_rot_270deg,20236.950100,1984.550104,2069.790828,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
52,13,0,C4_rot_0deg,20556.072910,2004.550104,2046.113157,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
53,13,1,C4_rot_90deg,20536.127735,2024.550104,2047.593011,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
54,13,2,C4_rot_180deg,20516.182559,2004.550104,2049.072866,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
55,13,3,C4_rot_270deg,20536.127735,1984.550104,2047.593011,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
56,14,0,C4_rot_0deg,20855.250545,2004.550104,2023.915340,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
57,14,1,C4_rot_90deg,20835.305369,2024.550104,2025.395194,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
58,14,2,C4_rot_180deg,20815.360193,2004.550104,2026.875049,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
59,14,3,C4_rot_270deg,20835.305369,1984.550104,2025.395194,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
60,15,0,C4_rot_0deg,21154.428179,2004.550104,2001.717522,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
61,15,1,C4_rot_90deg,21134.483003,2024.550104,2003.197377,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
62,15,2,C4_rot_180deg,21114.537828,2004.550104,2004.677231,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
63,15,3,C4_rot_270deg,21134.483003,1984.550104,2003.197377,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
64,16,0,C4_rot_0deg,21453.605813,2004.550104,1979.519705,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
65,16,1,C4_rot_90deg,21433.660638,2024.550104,1980.999560,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
66,16,2,C4_rot_180deg,21413.715462,2004.550104,1982.479414,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
67,16,3,C4_rot_270deg,21433.660638,1984.550104,1980.999560,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
68,17,0,C4_rot_0deg,21752.783448,2004.550104,1957.321888,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
69,17,1,C4_rot_90deg,21732.838272,2024.550104,1958.801743,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
70,17,2,C4_rot_180deg,21712.893096,2004.550104,1960.281597,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
71,17,3,C4_rot_270deg,21732.838272,1984.550104,1958.801743,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
72,18,0,C4_rot_0deg,22051.961082,2004.550104,1935.124071,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
73,18,1,C4_rot_90deg,22032.015906,2024.550104,1936.603926,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
74,18,2,C4_rot_180deg,22012.070731,2004.550104,1938.083780,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
75,18,3,C4_rot_270deg,22032.015906,1984.550104,1936.603926,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
76,19,0,C4_rot_0deg,22351.138716,2004.550104,1912.926254,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
77,19,1,C4_rot_90deg,22331.193541,2024.550104,1914.406108,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
78,19,2,C4_rot_180deg,22311.248365,2004.550104,1915.885963,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
79,19,3,C4_rot_270deg,22331.193541,1984.550104,1914.406108,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
